emplyeeId,date,totalMinutes,totalData
1905,10/9/2017,29,0.02
1906,4/17/2018,7,0.65
1905,2/18/2018,21,0.26
1906,5/13/2018,61,1.91
1909,1/20/2018,45,0.76
1907,4/12/2018,73,1.61
1908,5/24/2018,22,0.35
1903,4/12/2018,40,0.95
1907,11/25/2017,96,1.96
1909,4/13/2018,88,0.38
1907,2/4/2018,66,0.23
1904,10/27/2017,76,0.75
1904,7/3/2018,1,1.16
1909,1/11/2018,66,1.64
1906,1/22/2018,89,1.62
1903,12/31/2017,31,0.89
1906,4/6/2018,2,0.06
1904,2/12/2018,4,1.78
1903,5/25/2018,42,0.31
1911,5/23/2018,54,0.97
1903,4/9/2018,64,0.64
1907,2/7/2018,65,0.03
1907,1/13/2018,40,1.18
1907,7/22/2018,92,1.12
1910,3/14/2018,14,0.56
1910,8/28/2018,97,1.14
1910,7/10/2018,4,1.23
1908,9/17/2018,54,1.71
1910,12/17/2017,99,0.39
1909,11/22/2017,7,0.73
1905,3/29/2018,49,1.64
1908,2/24/2018,38,1.12
1905,2/26/2018,53,0.05
1908,9/19/2018,22,0.09
1908,10/23/2017,1,0.4
1903,11/2/2017,69,1.51
1907,9/25/2017,13,0.52
1906,12/9/2017,37,0.24
1904,11/27/2017,36,1.83
1903,3/20/2018,66,1.19
1905,1/2/2018,48,1.71
1909,12/28/2017,22,0.07
1904,4/11/2018,56,0.87
1907,10/16/2017,37,1.85
1903,4/22/2018,81,0.11
1911,9/15/2018,82,1.39
1911,9/20/2018,81,0.15
1911,10/29/2017,71,0.6
1911,8/10/2018,4,0.03
1909,5/17/2018,86,0.11
1904,3/4/2018,93,1.58
1907,5/21/2018,30,0.6
1906,6/14/2018,75,0.37
1906,7/28/2018,69,0.46
1909,9/3/2018,9,0.07
1903,2/28/2018,15,0.87
1905,6/24/2018,8,1.04
1911,10/21/2017,78,1.48
1906,5/19/2018,73,1.79
1908,3/4/2018,91,0.35
1907,5/1/2018,23,0.84
1906,11/30/2017,22,0.04
1909,1/9/2018,36,1.7
1910,6/1/2018,33,1.95
1910,7/29/2018,94,0.43
1909,11/7/2017,92,1.44
1911,9/24/2017,25,1.16
1903,1/25/2018,27,0.97
1904,5/3/2018,29,0.13
1909,1/1/2018,77,1.96
1905,11/6/2017,61,0.9
1910,11/25/2017,22,1.47
1904,12/8/2017,76,0.55
1904,2/18/2018,23,1.53
1906,2/14/2018,36,0.21
1907,3/26/2018,94,1.85
1904,8/1/2018,17,1.59
1911,3/14/2018,3,0.52
